Plant,loc,px_obs,end_points,branch_points,areole_num,skel_length_mm,areole_area_mmsq,vein_dens_mm2
1024,B,10162144,178,414,125,132.7863767,0.12973479,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.129087597,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.126225232,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.125017642,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.122938323,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.120223132,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.119313666,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.115683348,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.114268204,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.108632155,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.108198177,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.10747551,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.107033985,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.106873602,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.104011236,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.102718738,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.101028112,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.100941316,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.100405448,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.092629701,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.090516418,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.088725788,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.088155957,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.088065388,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.086971009,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.086646469,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.085582281,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.083952034,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.083327484,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.083278425,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.083248236,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.082785955,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.081485909,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.080917964,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.077921632,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.077363121,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.075597021,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.075193233,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.074276219,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.073072403,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.072061046,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.071921419,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.070183621,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.06925906,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.068757156,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.068509977,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.065109857,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.063868303,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.060768193,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.058575662,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.057247313,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.056662387,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.055328378,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.05528498,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.054549105,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.054233999,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.053249058,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.051135776,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.048630027,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.048052648,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.046637503,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.043137379,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.036995652,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.036935272,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.036469218,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.036159773,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.035480504,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.035148416,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.034655946,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.033797425,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.032278503,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.030174655,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.026710381,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.016074155,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.002215173,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.000437751,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.000133967,6.519062337
1024,M,12199360,240,525,146,165.5015374,0.455352,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.372324527,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.363969513,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.340604534,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.323775635,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.322641632,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.312582785,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.309201533,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.298991737,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.298942679,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.292917937,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.292251875,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.288300792,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.277245683,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.272454947,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.233878107,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.216673723,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.212550935,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.209509318,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.203705338,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.203061919,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.200607115,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.189785977,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.189253882,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.188087803,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.186174528,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.184265026,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.18309706,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.180415833,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.179451648,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.178166697,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.177770456,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.177562902,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.173951453,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.171523065,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.162481235,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.160022657,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.159875482,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.156696124,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.155990438,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.151986523,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.150773272,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.148297713,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.144678716,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.140784239,6.342730721
1024,M,12199360,240,525,146,165.5015374,0.137710545,6.342730721
