"plant","vox_size","px_obs","skel_length_mm","vein_density_mm2","end_points","branch_points","areole_num","areole_mmsq"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.244477891312"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.240763123814"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.240099632675"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.233347289225"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.228712637257"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.223989911244"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.215716822617"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.213282064573"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.21163214413"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.208349918053"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.208230528792"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.20822661439"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.191563005076"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.191398600192"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.187006641148"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.178518260411"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.163565244771"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.162097344021"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.149277677471"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.148776634015"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.137920040068"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.134665214805"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.132015164651"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.131658954069"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.129799613119"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.125186490362"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.116936888147"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.115288924905"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.113073373373"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.097065426394"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.091628322016"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.089812039488"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.08752602872"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.085175430319"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.082689785049"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.081061393817"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.072437966211"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.052488216418"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.049808808249"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.028745411087"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.491425770286"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.430110577358"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.385153670388"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.334757701839"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.31610753351"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.311893679757"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.306362629731"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.30352273108"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.302281865646"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.290151133848"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.280746783043"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.278503830697"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.276247177944"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.273896579543"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.273164586369"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.26709922047"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.257696826866"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.257377803103"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.243649995289"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.242765340437"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.234554882242"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.230928188789"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.228853555729"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.224054498877"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.220660712343"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.218114393842"
"219","0.001399","12199360","189.193112258","7.92378795541","438","643",120,"0.214540544816"
